TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
JSRE11;79,55;7,33;0,70;1.974.948,80;0,15;-2,87;-8,10;2.364.109.157,37;52.261,00;Ativa;
LGCP11;82,20;7,36;0,81;110.138,63;0,74;;;278.904.751,80;9.987,00;Ativa;
MFII11;110,25;10,91;1,10;454.815,50;25,81;-0,30;3,33;417.300.264,11;29.679,00;Ativa;
OULG11;49,33;12,16;0,67;127.159,48;2,75;;;183.176.183,14;6.688,00;Ativa;
THRA11;138,50;33,51;14,52;53.642,50;140,47;90,73;4,35;14.050.683,35;2.084,00;Passiva;
ITIP11;81,31;10,21;0,91;72.594,83;0,75;;;66.908.551,03;2.286,00;Passiva;
BBFI11B;2.285,00;13,49;0,80;392.335,98;8,08;3,78;-1,62;369.184.512,49;8.731,00;Passiva;
HCHG11;88,48;5,03;0,92;26.180,12;1,21;;;115.467.331,86;318,00;Ativa;
SOLR11;1.156,93;6,83;1,15;1.156,00;1,03;;;63.363.199,06;52,00;Ativa;
CVPR11;0,00;0,00;;;47,10;;;12.175.719,46;2,00;Ativa;
TCPF11;1,26;1.242,06;0,01;;3,48;;;56.544.093,90;52,00;Ativa;
CPTS11;96,94;12,67;1,02;7.803.412,28;0,21;13,94;-1,95;2.646.336.850,54;136.986,00;Ativa;
NAVT11;74,50;6,91;0,81;130.290,63;4,08;;;97.435.373,81;1.807,00;Ativa;
FLMA11;116,75;5,54;0,75;74.972,80;2,53;-9,82;-6,12;216.308.774,34;20.508,00;Ativa;
GCFF11;78,49;11,94;0,86;68.406,28;1,47;;;30.939.254,59;1.742,00;Ativa;
MCHF11;9,99;6,41;0,91;249.222,30;1,58;;;90.855.755,84;2.942,00;Ativa;
HCST11;88,01;0,00;0,84;353,27;3,38;;;30.075.599,06;80,00;Ativa;
BTWR11;106,40;2,02;0,98;1.440.549,00;2,79;;;87.750.674,52;59,00;Passiva;
PRSV11;117,50;0,00;0,49;8.563,96;8,57;28,92;-30,37;46.558.614,44;1.152,00;Passiva;
BCRI11;111,00;12,13;1,04;1.107.517,50;5,37;13,16;0,30;667.242.431,60;45.575,00;Ativa;
GCRI11;98,05;12,79;0,98;163.355,43;2,66;;;100.208.755,09;1.243,00;Ativa;
RBCB11;19,00;0,00;;;;-15,04;-54,96;0,00;462,00;Ativa;
RBRF11;72,17;9,98;0,83;3.024.868,70;1,68;-7,65;-11,11;1.194.884.791,18;80.136,00;Ativa;
PATC11;65,45;5,15;0,76;356.647,85;1,02;;;300.834.475,20;10.978,00;Ativa;
LVBI11;101,68;6,56;0,89;2.460.660,08;4,72;-1,40;-1,07;1.351.927.259,60;41.811,00;Ativa;
VINO11;51,65;10,71;0,94;3.100.516,00;2,96;;;699.302.246,47;100.857,00;Ativa;
HTMX11;84,60;0,00;0,68;107.844,18;1,14;8,60;-17,30;157.077.737,90;24.125,00;Ativa;
HCRI11;340,05;10,57;1,12;29.611,95;0,60;5,43;3,15;60.978.098,87;3.067,00;Passiva;
FVPQ11;101,75;5,08;0,51;165.236,00;1,48;-22,11;-18,79;556.565.913,49;4.545,00;Passiva;
BRHT11B;86,80;0,00;1,08;;3,44;;;147.568.817,37;11,00;--;
BBIM11;0,00;0,00;;;10,10;1,03;;49.542.596,08;20,00;Ativa;
DRIT11B;94,00;4,68;0,72;1.577,95;0,73;-14,31;-14,43;60.758.317,59;322,00;Ativa;
MBRF11;690,00;13,40;0,62;60.524,75;4,19;-2,91;-15,13;113.428.869,55;2.767,00;Ativa;
RNGO11;51,01;7,88;0,58;104.913,65;1,89;-9,35;-14,84;234.005.032,84;14.895,00;Passiva;
TCIN11;113,60;0,00;1,05;18.062,80;1,44;;;89.934.484,70;125,00;Ativa;
EQIR11;99,80;2,11;0,98;20.798,33;1,58;;;51.382.055,69;77,00;Ativa;
STRX11;8,52;3.344,00;0,06;;0,67;;;227.288.534,96;53,00;Passiva;
LASC11;90,00;5,63;0,80;251.289,09;5,13;;;283.276.103,44;165,00;Ativa;
CXCE11B;45,43;18,21;0,70;43.947,25;6,78;-0,99;-20,40;110.977.715,16;4.525,00;Passiva;
HGRS11;0,00;0,00;;;21,00;;;111.909.130,17;6,00;Ativa;
VLJS11;1.141,14;5,72;0,76;;30,12;;;38.944.274,69;9,00;Passiva;
XPIN11;88,26;8,55;0,80;537.131,65;6,07;-4,10;-7,91;786.901.110,67;51.854,00;Ativa;
