TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;15,98;;49,18;1,57;0,73;31,40;12,33;3,31;13,22;17,52;4,30;0,51;1,63;-42,00;-0,93;0,93;3,19;1,48;6,14;0,46;0,52;0,45;5,83;;12.260.417,43;10,19;0,32;-0,36;1.890.319.199,68
ABCB4;15,84;5,78;6,91;0,79;0,07;45,93;38,82;23,64;4,21;4,21;;;1,63;0,95;-0,08;2,68;11,37;1,04;;0,09;0,91;0,04;1,17;5,92;14.162.280,48;20,15;2,29;0,12;3.581.267.469,12
ABEV3;14,93;4,04;14,83;2,71;1,74;51,93;27,80;22,84;12,18;11,30;-0,88;-0,20;3,39;33,16;-2,42;1,23;18,27;11,73;19,13;0,64;0,35;0,51;4,56;4,99;333.947.254,60;5,51;1,01;0,18;235.064.670.883,17
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;6,05;;69,49;4,56;1,56;9,96;7,06;2,52;24,79;27,65;2,86;0,53;1,75;3,39;-4,48;3,40;6,56;2,25;7,41;0,34;0,66;0,89;;;14.075.919,23;1,33;0,09;-1,35;4.635.591.408,80
AESB3;11,43;2,02;12,62;2,53;0,52;16,81;8,41;36,44;54,70;105,29;50,58;2,34;4,60;1.006,58;-0,58;1,00;20,04;4,08;-5,31;0,20;0,72;0,11;;;12.361.520,10;4,52;0,91;;5.624.777.237,85
AFLT3;9,38;6,72;30,04;3,31;3,01;67,45;53,41;50,68;28,51;27,58;-0,92;-0,11;15,22;13,40;-4,02;9,63;11,02;10,03;10,66;0,91;0,09;0,20;5,56;9,29;5.857,14;2,83;0,31;-2,74;591.734.486,00
AGRO3;27,03;9,70;6,50;1,27;0,81;27,33;21,57;45,98;13,86;12,88;-0,99;-0,09;2,99;2,52;-1,66;2,66;19,50;12,41;5,76;0,64;0,36;0,27;55,29;121,45;15.736.310,33;21,32;4,16;0,03;2.767.250.526,24
AGXY3;10,90;;2.795,78;1,36;0,31;6,94;-2,02;0,02;-23,78;-33,41;-9,63;0,55;0,48;2,87;-1,40;1,16;0,05;0,01;-3,63;0,23;0,77;0,65;;;893.932,83;7,99;0,00;;1.861.992.380,10
AHEB3;27,50;;-3,88;-4,89;0,83;22,55;-19,49;-31,68;-6,31;-6,22;0,18;;1,23;-3,36;-1,07;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;11.149,63;-5,63;-7,08;-0,01;238.221.493,00
AHEB5;22,00;;-3,11;-3,91;0,67;22,55;-19,49;-31,68;-5,05;-6,22;0,18;;0,98;-2,69;-0,86;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;2.348,50;-5,63;-7,08;-0,01;238.221.493,00
AHEB6;51,50;;-7,27;-9,15;1,56;22,55;-19,49;-31,68;-11,82;-6,22;0,18;;2,30;-6,30;-2,01;0,47;-125,95;-21,47;77,48;-0,17;1,17;0,68;1,88;;6.742,00;-5,63;-7,08;-0,02;238.221.493,00
ALLD3;15,30;4,97;4,19;0,94;0,34;15,43;8,39;5,93;2,96;2,84;-0,12;-0,04;0,25;1,49;-1,25;1,47;22,32;8,19;21,00;0,37;0,63;1,38;;;2.639.326,98;16,34;3,65;0,02;1.426.274.904,60
ALPA3;25,97;1,52;33,98;4,58;2,86;53,38;15,21;11,09;24,77;24,98;-1,08;-0,20;3,77;9,56;-6,56;2,13;13,48;8,42;14,72;0,62;0,36;0,76;-3,59;10,54;91.846,98;5,67;0,76;0,28;16.067.199.167,08
